,No source in $2 with unapproved $1,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
551,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,adapted as novel expression|is adapted as novel expression,,,,http://rdaregistry.info/Elements/e/P20088,is adapted as novel expression,,,,,
552,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,appendix to expression|is appendix to expression,,,,http://rdaregistry.info/Elements/e/P20089,is appendix to expression,,,,,
553,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,abstracted in expression|is abstracted in expression,,,,http://rdaregistry.info/Elements/e/P20090,is abstracted in expression,,,,,
554,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,indexed in expression|is indexed in expression,,,,http://rdaregistry.info/Elements/e/P20091,is indexed in expression,,,,,
555,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,adapted as choreography expression|is adapted as choreography expression,,,,http://rdaregistry.info/Elements/e/P20092,is adapted as choreography expression,,,,,
556,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,errata expression|has errata expression,,,,http://rdaregistry.info/Elements/e/P20093,has errata expression,,,,,
557,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,illustrations expression|has illustrations expression,,,,http://rdaregistry.info/Elements/e/P20094,has illustrations expression,,,,,
558,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,adapted as motion picture screenplay expression|is adapted as motion picture screenplay expression,,,,http://rdaregistry.info/Elements/e/P20095,is adapted as motion picture screenplay expression,,,,,
559,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,adapted as screenplay expression|is adapted as screenplay expression,,,,http://rdaregistry.info/Elements/e/P20096,is adapted as screenplay expression,,,,,
560,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,adapted as television screenplay expression|is adapted as television screenplay expression,,,,http://rdaregistry.info/Elements/e/P20097,is adapted as television screenplay expression,,,,,
561,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,adapted as video screenplay expression|is adapted as video screenplay expression,,,,http://rdaregistry.info/Elements/e/P20098,is adapted as video screenplay expression,,,,,
562,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,adapted as radio script expression|is adapted as radio script expression,,,,http://rdaregistry.info/Elements/e/P20099,is adapted as radio script expression,,,,,
563,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,complemented by expression|is complemented by expression,,,,http://rdaregistry.info/Elements/e/P20100,is complemented by expression,,,,,
564,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,screenplay for expression|is screenplay for expression,,,,http://rdaregistry.info/Elements/e/P20102,is screenplay for expression,,,,,
565,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,incidental music for expression|is incidental music for expression,,,,http://rdaregistry.info/Elements/e/P20103,is incidental music for expression,,,,,
566,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,abstracted as expression|is abstracted as expression,,,,http://rdaregistry.info/Elements/e/P20104,is abstracted as expression,,,,,
567,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,augmented by expression|is augmented by expression,,,,http://rdaregistry.info/Elements/e/P20105,is augmented by expression,,,,,
568,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,summarized as expression|is summarized as expression,,,,http://rdaregistry.info/Elements/e/P20106,is summarized as expression,,,,,
569,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,catalogue expression|has catalogue expression,,,,http://rdaregistry.info/Elements/e/P20107,has catalogue expression,,,,,
570,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,concordance expression|has concordance expression,,,,http://rdaregistry.info/Elements/e/P20108,has concordance expression,,,,,
571,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,addenda expression|has addenda expression,,,,http://rdaregistry.info/Elements/e/P20109,has addenda expression,,,,,
572,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,adapted as libretto expression|is adapted as libretto expression,,,,http://rdaregistry.info/Elements/e/P20110,is adapted as libretto expression,,,,,
573,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,imitated as expression|is imitated as expression,,,,http://rdaregistry.info/Elements/e/P20114,is imitated as expression,,,,,
574,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,expanded as expression|is expanded as expression,,,,http://rdaregistry.info/Elements/e/P20115,is expanded as expression,,,,,
575,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,appendix expression|has appendix expression,,,,http://rdaregistry.info/Elements/e/P20118,has appendix expression,,,,,
576,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,freely translated as expression|is freely translated as expression,,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
577,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,guide expression|has guide expression,,,,http://rdaregistry.info/Elements/e/P20120,has guide expression,,,,,
578,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,abridgement of expression|is abridgement of expression,,,,http://rdaregistry.info/Elements/e/P20121,is abridgement of expression,,,,,
579,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,abstract of expression|is abstract of expression,,,,http://rdaregistry.info/Elements/e/P20122,is abstract of expression,,,,,
580,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,dramatization of expression|is dramatization of expression,,,,http://rdaregistry.info/Elements/e/P20123,is dramatization of expression,,,,,
581,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,verse adaptation of expression|is verse adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20124,is verse adaptation of expression,,,,,
582,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,motion picture adaptation of expression|is motion picture adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20125,is motion picture adaptation of expression,,,,,
583,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,novelization of expression|is novelization of expression,,,,http://rdaregistry.info/Elements/e/P20126,is novelization of expression,,,,,
584,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,radio adaptation of expression|is radio adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20127,is radio adaptation of expression,,,,,
585,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,television adaptation of expression|is television adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20128,is television adaptation of expression,,,,,
586,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,screenplay based on expression|is screenplay based on expression,,,,http://rdaregistry.info/Elements/e/P20129,is screenplay based on expression,,,,,
587,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,motion picture screenplay based on expression|is motion picture screenplay based on expression,,,,http://rdaregistry.info/Elements/e/P20130,is motion picture screenplay based on expression,,,,,
588,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,television screenplay based on expression|is television screenplay based on expression,,,,http://rdaregistry.info/Elements/e/P20131,is television screenplay based on expression,,,,,
589,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,video screenplay based on expression|is video screenplay based on expression,,,,http://rdaregistry.info/Elements/e/P20132,is video screenplay based on expression,,,,,
590,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,radio script based on expression|is radio script based on expression,,,,http://rdaregistry.info/Elements/e/P20133,is radio script based on expression,,,,,
591,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,video adaptation of expression|is video adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20134,is video adaptation of expression,,,,,
592,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,digest of expression|is digest of expression,,,,http://rdaregistry.info/Elements/e/P20135,is digest of expression,,,,,
593,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,arrangement of|is arrangement of,,,,http://rdaregistry.info/Elements/e/P20139,is arrangement of,,,,,
594,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,free translation of expression|is free translation of expression,,,,http://rdaregistry.info/Elements/e/P20140,is free translation of expression,,,,,
595,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,translation of|is translation of,,,,http://rdaregistry.info/Elements/e/P20141,is translation of,,,,,
596,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,parodied as expression|is parodied as expression,,,,http://rdaregistry.info/Elements/e/P20142,is parodied as expression,,,,,
597,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,part expression|has part expression,,,,http://rdaregistry.info/Elements/e/P20145,has part expression,,,,,
598,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,errata to expression|is errata to expression,,,,http://rdaregistry.info/Elements/e/P20146,is errata to expression,,,,,
599,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,guide to expression|is guide to expression,,,,http://rdaregistry.info/Elements/e/P20147,is guide to expression,,,,,
600,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,illustrations for expression|is illustrations for expression,,,,http://rdaregistry.info/Elements/e/P20148,is illustrations for expression,,,,,
601,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,supplement to expression|is supplement to expression,,,,http://rdaregistry.info/Elements/e/P20151,is supplement to expression,,,,,
602,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,adaptation of expression|is adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20152,is adaptation of expression,,,,,
603,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,adapted as expression|is adapted as expression,,,,http://rdaregistry.info/Elements/e/P20153,is adapted as expression,,,,,
604,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,finding aid expression|has finding aid expression,,,,http://rdaregistry.info/Elements/e/P20155,has finding aid expression,,,,,
605,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,index expression|has index expression,,,,http://rdaregistry.info/Elements/e/P20156,has index expression,,,,,
606,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,screenplay expression|has screenplay expression,,,,http://rdaregistry.info/Elements/e/P20157,has screenplay expression,,,,,
607,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,motion picture screenplay expression|has motion picture screenplay expression,,,,http://rdaregistry.info/Elements/e/P20158,has motion picture screenplay expression,,,,,
608,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,musical setting of expression|is musical setting of expression,,,,http://rdaregistry.info/Elements/e/P20159,is musical setting of expression,,,,,
609,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,radio script expression|has radio script expression,,,,http://rdaregistry.info/Elements/e/P20160,has radio script expression,,,,,
610,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,television screenplay expression|has television screenplay expression,,,,http://rdaregistry.info/Elements/e/P20161,has television screenplay expression,,,,,
611,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,video screenplay expression|has video screenplay expression,,,,http://rdaregistry.info/Elements/e/P20162,has video screenplay expression,,,,,
612,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,libretto expression|has libretto expression,,,,http://rdaregistry.info/Elements/e/P20163,has libretto expression,,,,,
613,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,paraphrased as expression|is paraphrased as expression,,,,http://rdaregistry.info/Elements/e/P20164,is paraphrased as expression,,,,,
614,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,arranged as|is arranged as,,,,http://rdaregistry.info/Elements/e/P20165,is arranged as,,,,,
615,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,abridged as expression|is abridged as expression,,,,http://rdaregistry.info/Elements/e/P20166,is abridged as expression,,,,,
616,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,digested as expression|is digested as expression,,,,http://rdaregistry.info/Elements/e/P20170,is digested as expression,,,,,
617,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,translated as|is translated as,,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
618,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,supplement expression|has supplement expression,,,,http://rdaregistry.info/Elements/e/P20172,has supplement expression,,,,,
619,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,screenplay for motion picture expression|is screenplay for motion picture expression,,,,http://rdaregistry.info/Elements/e/P20173,is screenplay for motion picture expression,,,,,
620,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,screenplay for television program expression|is screenplay for television program expression,,,,http://rdaregistry.info/Elements/e/P20174,is screenplay for television program expression,,,,,
621,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,screenplay for video expression|is screenplay for video expression,,,,http://rdaregistry.info/Elements/e/P20175,is screenplay for video expression,,,,,
622,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,script for radio program expression|is script for radio program expression,,,,http://rdaregistry.info/Elements/e/P20176,is script for radio program expression,,,,,
623,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,addenda to expression|is addenda to expression,,,,http://rdaregistry.info/Elements/e/P20177,is addenda to expression,,,,,
624,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,summary of expression|is summary of expression,,,,http://rdaregistry.info/Elements/e/P20179,is summary of expression,,,,,
625,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,catalogue of expression|is catalogue of expression,,,,http://rdaregistry.info/Elements/e/P20180,is catalogue of expression,,,,,
626,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,concordance to expression|is concordance to expression,,,,http://rdaregistry.info/Elements/e/P20181,is concordance to expression,,,,,
627,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,choreographic adaptation of expression|is choreographic adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20183,is choreographic adaptation of expression,,,,,
628,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,expanded version of expression|is expanded version of expression,,,,http://rdaregistry.info/Elements/e/P20184,is expanded version of expression,,,,,
629,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,remake of expression|is remake of expression,,,,http://rdaregistry.info/Elements/e/P20185,is remake of expression,,,,,
630,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,paraphrase of expression|is paraphrase of expression,,,,http://rdaregistry.info/Elements/e/P20186,is paraphrase of expression,,,,,
631,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,index to expression|is index to expression,,,,http://rdaregistry.info/Elements/e/P20188,is index to expression,,,,,
632,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,revision of|is revision of,,,,http://rdaregistry.info/Elements/e/P20189,is revision of,,,,,
633,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,libretto based on expression|is libretto based on expression,,,,http://rdaregistry.info/Elements/e/P20190,is libretto based on expression,,,,,
634,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,augmentation of expression|is augmentation of expression,,,,http://rdaregistry.info/Elements/e/P20192,is augmentation of expression,,,,,
635,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,abstracts for expression|is abstracts for expression,,,,http://rdaregistry.info/Elements/e/P20193,is abstracts for expression,,,,,
636,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,indexing for expression|is indexing for expression,,,,http://rdaregistry.info/Elements/e/P20194,is indexing for expression,,,,,
637,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,imitation of expression|is imitation of expression,,,,http://rdaregistry.info/Elements/e/P20195,is imitation of expression,,,,,
638,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,parody of expression|is parody of expression,,,,http://rdaregistry.info/Elements/e/P20196,is parody of expression,,,,,
639,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,finding aid for expression|is finding aid for expression,,,,http://rdaregistry.info/Elements/e/P20197,is finding aid for expression,,,,,
640,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,expression of derivative work|has expression of derivative work,,,,http://rdaregistry.info/Elements/e/P20203,has expression of derivative work,,,,,
641,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,expression of source work|has expression of source work,,,,http://rdaregistry.info/Elements/e/P20204,has expression of source work,,,,,
642,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,revised as|is revised as,,,,http://rdaregistry.info/Elements/e/P20211,is revised as,,,,,
643,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,merged to form expression|is merged to form expression,,,,http://rdaregistry.info/Elements/e/P20212,is merged to form expression,,,,,
644,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,musical theatre adaptation of expression|is musical theatre adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20239,is musical theatre adaptation of expression,,,,,
645,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,opera adaptation of expression|is opera adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20240,is opera adaptation of expression,,,,,
646,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,adapted as musical theatre expression|is adapted as musical theatre expression,,,,http://rdaregistry.info/Elements/e/P20241,is adapted as musical theatre expression,,,,,
647,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,adapted as opera expression|is adapted as opera expression,,,,http://rdaregistry.info/Elements/e/P20242,is adapted as opera expression,,,,,
648,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,music expression|has music expression,,,,http://rdaregistry.info/Elements/e/P20243,has music expression,,,,,
649,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,music for expression|is music for expression,,,,http://rdaregistry.info/Elements/e/P20244,is music for expression,,,,,
650,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,video music expression|has video music expression,,,,http://rdaregistry.info/Elements/e/P20245,has video music expression,,,,,
651,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,music for video expression|is music for video expression,,,,http://rdaregistry.info/Elements/e/P20246,is music for video expression,,,,,
652,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,television program music expression|has television program music expression,,,,http://rdaregistry.info/Elements/e/P20247,has television program music expression,,,,,
653,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,music for television program expression|is music for television program expression,,,,http://rdaregistry.info/Elements/e/P20248,is music for television program expression,,,,,
654,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,radio program music expression|has radio program music expression,,,,http://rdaregistry.info/Elements/e/P20249,has radio program music expression,,,,,
655,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,music for radio program expression|is music for radio program expression,,,,http://rdaregistry.info/Elements/e/P20250,is music for radio program expression,,,,,
656,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,motion picture music expression|has motion picture music expression,,,,http://rdaregistry.info/Elements/e/P20251,has motion picture music expression,,,,,
657,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,music for motion picture expression|is music for motion picture expression,,,,http://rdaregistry.info/Elements/e/P20252,is music for motion picture expression,,,,,
658,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,choreography expression|has choreography expression,,,,http://rdaregistry.info/Elements/e/P20253,has choreography expression,,,,,
659,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,choreography for expression|is choreography for expression,,,,http://rdaregistry.info/Elements/e/P20254,is choreography for expression,,,,,
660,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,adapted as graphic novel expression|is adapted as graphic novel expression,,,,http://rdaregistry.info/Elements/e/P20255,is adapted as graphic novel expression,,,,,
