Status	MARCField	MARCFieldLabel	MARCInd1Label	MARCInd1Value	MARCInd1ValueLabel	MARCInd2Label	MARCInd2Value	MARCInd2ValueLabel	CharacterPosition	CharacterPositionLabel	MARCSubfield	MARCSubfieldLabel	CodeValue	CodeValueLabel	MARCTagCondition1	Condition1Values	MARCTagCondition2	Condition2Values	RDA Registry URI	RDA Registry Label	Recording Method	Justification for Mapping	Transformation Notes	Problems with Mapping	Notes (Uncategorized)
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30208	has base material					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30453	has illustrative content					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30454	has sound content					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30456	has colour content					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				c	Dimensions (R)							http://rdaregistry.info/Elements/m/P30169	has dimensions					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				c	Dimensions (R)							http://rdaregistry.info/Elements/m/P30170	has dimensions of cartographic image					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				c	Dimensions (R)							http://rdaregistry.info/Elements/m/P30171	has dimensions of still image					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				c	Dimensions (R)							http://rdaregistry.info/Elements/m/P30197	has bibliographic format					
	300	PHYSICAL DESCRIPTION (R)	Undefined	#	Undefined	Undefined	#	Undefined			e	Accompanying material (NR)													
	300	PHYSICAL DESCRIPTION (R)	Undefined	#	Undefined	Undefined	#	Undefined			f	Type of unit (R)													
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				g	Size of unit (R)							http://rdaregistry.info/Elements/m/P30169	has dimensions					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				g	Size of unit (R)							http://rdaregistry.info/Elements/m/P30170	has dimensions of cartographic image					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				g	Size of unit (R)							http://rdaregistry.info/Elements/m/P30171	has dimensions of still image					
	301	PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			a	Extent of item (NR)													
	301	PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			b	Sound characteristics (NR)													
	301	PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			c	Color characteristics (NR)													
	301	PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			d	Dimensions (NR)													
	301	PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			e	Accompanying material (NR)													
	301	PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			f	Speed (NR)													
	302	PAGE OR ITEM COUNT (BK AM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			a	Page count (NR)													
	303	UNIT COUNT (AM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			a	Unit count (NR)													
	304	LINEAR FOOTAGE (AM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			a	Linear footage (NR)													
