Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,video screenplay wor|has video screenplay wor,,,http://rdaregistry.info/Elements/w/P10164,has video screenplay wor,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,libretto work|has libretto work,,,http://rdaregistry.info/Elements/w/P10165,has libretto work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,paraphrased as work|is paraphrased as work,,,http://rdaregistry.info/Elements/w/P10166,is paraphrased as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,abridged as work|is abridged as work,,,http://rdaregistry.info/Elements/w/P10167,is abridged as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,digested as work|is digested as work,,,http://rdaregistry.info/Elements/w/P10171,is digested as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,screenplay for motion picture work|is screenplay for motion picture work,,,http://rdaregistry.info/Elements/w/P10173,is screenplay for motion picture work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,screenplay for television program work|is screenplay for television program work,,,http://rdaregistry.info/Elements/w/P10174,is screenplay for television program work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,screenplay for video work|is screenplay for video work,,,http://rdaregistry.info/Elements/w/P10175,is screenplay for video work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,script for radio program work|is script for radio program work,,,http://rdaregistry.info/Elements/w/P10176,is script for radio program work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,addenda to work|is addenda to work,,,http://rdaregistry.info/Elements/w/P10177,is addenda to work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,review of work|is review of work,,,http://rdaregistry.info/Elements/w/P10178,is review of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,summary of work|is summary of work,,,http://rdaregistry.info/Elements/w/P10179,is summary of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,catalogue of work|is catalogue of work,,,http://rdaregistry.info/Elements/w/P10180,is catalogue of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,concordance to work|is concordance to work,,,http://rdaregistry.info/Elements/w/P10181,is concordance to work,,,,,
